Gender,Grade,Total,MCQ,Q1,Q2,Q3,Q4,Q5
0.0,1.0,0.3820224719101124,0.3125,1.0,0.5,0.14285714285714285,1.0,0.0
1.0,1.0,0.3595505617977528,0.3125,0.5,0.25,0.5714285714285714,0.8,0.0
0.0,0.0,0.16853932584269662,0.375,0.0,0.0,0.14285714285714285,0.0,0.0
1.0,1.0,0.21348314606741572,0.375,0.5,0.0,0.0,0.0,0.3333333333333333
0.0,1.0,0.17977528089887637,0.3125,0.0,0.25,0.2857142857142857,0.0,0.0
1.0,0.0,0.7865168539325843,0.875,1.0,1.0,0.42857142857142855,0.8,0.5
1.0,0.0,0.4269662921348315,0.5625,1.0,0.25,0.42857142857142855,0.0,0.0
1.0,1.0,0.5842696629213483,0.6875,1.0,0.25,0.42857142857142855,0.8,0.0
0.0,1.0,0.7415730337078652,0.6875,1.0,0.5,1.0,1.0,0.3333333333333333
1.0,0.0,0.4831460674157303,0.5625,0.75,0.25,0.2857142857142857,0.8,0.16666666666666666
0.0,0.0,0.23595505617977527,0.375,0.75,0.25,0.0,0.0,0.0
1.0,0.0,0.07865168539325842,0.25,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.7640449438202247,0.6875,1.0,0.75,1.0,1.0,0.3333333333333333
1.0,0.0,0.6629213483146067,0.625,1.0,0.25,1.0,0.8,0.3333333333333333
1.0,1.0,0.5280898876404495,0.625,1.0,0.5,0.42857142857142855,0.2,0.3333333333333333
1.0,1.0,0.7191011235955056,0.75,1.0,0.75,0.8571428571428571,0.5,0.3333333333333333
1.0,0.0,0.5955056179775281,0.5,1.0,0.5,1.0,0.7000000000000001,0.16666666666666666
0.0,0.0,0.3595505617977528,0.3125,1.0,0.25,0.8571428571428571,0.0,0.0
1.0,0.0,0.6966292134831461,0.75,1.0,0.75,0.5714285714285714,0.7000000000000001,0.3333333333333333
0.0,1.0,0.8426966292134831,0.9375,1.0,0.75,1.0,0.7000000000000001,0.0
0.0,1.0,0.7078651685393259,0.6875,0.5,0.75,1.0,0.8,0.5
0.0,1.0,0.9325842696629213,1.0,1.0,0.75,1.0,1.0,0.3333333333333333
1.0,0.0,0.2921348314606742,0.4375,1.0,0.25,0.0,0.0,0.0
1.0,0.0,0.651685393258427,0.5,1.0,0.75,1.0,0.8,0.5
1.0,1.0,0.7078651685393259,0.75,0.75,0.75,1.0,0.4,0.3333333333333333
1.0,0.0,0.4382022471910113,0.5,1.0,0.25,0.14285714285714285,0.7000000000000001,0.16666666666666666
0.0,1.0,0.7640449438202247,0.75,1.0,0.5,1.0,0.9,0.3333333333333333
0.0,1.0,0.9438202247191011,0.9375,1.0,1.0,1.0,1.0,0.6666666666666666
0.0,1.0,0.5168539325842697,0.625,1.0,0.25,0.5,0.4,0.0
0.0,1.0,0.7415730337078652,0.6875,1.0,0.75,1.0,0.8,0.3333333333333333
0.0,1.0,0.6966292134831461,0.5625,1.0,1.0,1.0,0.8,0.3333333333333333
0.0,1.0,0.6741573033707865,0.5625,0.75,0.5,1.0,0.8,1.0
0.0,1.0,0.6966292134831461,0.625,1.0,0.75,0.8571428571428571,1.0,0.16666666666666666
1.0,1.0,0.8764044943820225,0.9375,0.75,0.5,1.0,1.0,0.6666666666666666
0.0,1.0,0.7078651685393259,0.8125,0.5,1.0,1.0,0.30000000000000004,0.0
